dID,firstName,lastName,driverTag,nationality,age
0,Michele,Alboreto,,Italian,68
1,Jean,Alesi,,French,61
2,Philippe,Alliot,,French,71
3,René,Arnoux,,French,77
4,Paolo,Barilla,,Italian,64
5,Gerhard,Berger,,Austrian,66
6,Éric,Bernard,,French,61
7,Enrico,Bertaggia,,Italian,61
8,Thierry,Boutsen,,Belgian,68
9,Martin,Brundle,,British,66
10,Alex,Caffi,,Italian,61
11,Ivan,Capelli,,Italian,62
12,Eddie,Cheever,,American,67
13,Yannick,Dalmas,,French,64
14,Christian,Danner,,German,67
15,Andrea,de Cesaris,,Italian,66
16,Martin,Donnelly,,British,61
17,Gregor,Foitek,,Swiss,60
18,Bertrand,Gachot,,Belgian,62
19,Piercarlo,Ghinzani,,Italian,73
20,Olivier,Grouillard,,French,67
21,Maurício,Gugelmin,,Brazilian,62
22,Johnny,Herbert,,British,61
23,Jyrki,Järvilehto,,Finnish,59
24,Stefan,Johansson,,Swedish,69
25,Nicola,Larini,,Italian,61
26,Oscar,Larrauri,,Argentine,71
27,Nigel,Mansell,,British,72
28,Pierluigi,Martini,,Italian,64
29,Stefano,Modena,,Italian,62
30,Gary,Brabham,,Australian,64
31,David,Brabham,,Australian,60
32,Bruno,Giacomelli,,Italian,73
33,Claudio,Langes,,Italian,65
34,Gianni,Morbidelli,,Italian,57
35,Roberto,Moreno,,Brazilian,66
36,Satoru,Nakajima,,Japanese,72
37,Julian,Bailey,,British,64
38,Fabrizio,Barbazza,,Italian,62
39,Michael,Bartels,,German,57
40,Mark,Blundell,,British,59
41,Pedro,Chaves,,Portuguese,60
42,Érik,Comas,,French,62
43,Mika,Häkkinen,,Finnish,57
44,Naoki,Hattori,,Japanese,59
45,Giovanna,Amati,,Italian,66
46,Paul,Belmondo,,French,62
47,Andrea,Chiesa,,Swiss,61
48,Christian,Fittipaldi,,Brazilian,54
49,Damon,Hill,,British,65
50,Ukyo,Katayama,,Japanese,62
51,Jan,Lammers,,Dutch,69
52,Perry,McCarthy,,British,64
53,Emanuele,Naspetti,,Italian,57
54,Riccardo,Patrese,,Italian,71
55,Michael,Andretti,,American,63
56,Marco,Apicella,,Italian,60
57,Luca,Badoer,BAD,Italian,54
58,Rubens,Barrichello,BAR,Brazilian,53
59,Jean-Marc,Gounon,,French,62
60,Eddie,Irvine,,British,60
61,Pedro,Lamy,,Portuguese,53
62,Alain,Prost,,French,70
63,Michael,Schumacher,MSC,German,56
64,Ayrton,Senna,,Brazilian,65
65,Philippe,Adams,,Belgian,55
66,Olivier,Beretta,,Monegasque,55
67,David,Coulthard,COU,British,54
68,Jean-Denis,Délétraz,,Swiss,62
69,Heinz-Harald,Frentzen,,German,58
70,Taki,Inoue,,Japanese,62
71,Franck,Lagorce,,French,57
72,Jean-Christophe,Boullion,,French,55
73,Pedro,Diniz,,Brazilian,55
74,Giovanni,Lavaggi,,Italian,67
75,Jan,Magnussen,MAG,Danish,52
76,Andrea,Montermini,,Italian,61
77,Olivier,Panis,,French,59
78,Massimiliano,Papis,,Italian,56
79,Mika,Salo,,Finnish,58
80,Domenico,Schiattarella,,Italian,58
81,Giancarlo,Fisichella,FIS,Italian,52
82,Tarso,Marques,,Brazilian,49
83,Ricardo,Rosset,,Brazilian,57
84,Jos,Verstappen,,Dutch,53
85,Jacques,Villeneuve,VIL,Canadian,54
86,Norberto,Fontana,,Argentine,50
87,Shinji,Nakano,,Japanese,54
88,Ralf,Schumacher,SCH,German,50
89,Vincenzo,Sospiri,,Italian,59
90,Jarno,Trulli,TRU,Italian,51
91,Alexander,Wurz,WUR,Austrian,51
92,Toranosuke,Takagi,,Japanese,51
93,Esteban,Tuero,,Argentine,47
94,Pedro,de la Rosa,DLR,Spanish,54
95,Marc,Gené,,Spanish,51
96,Stéphane,Sarrazin,,French,50
97,Alessandro,Zanardi,,Italian,59
98,Ricardo,Zonta,ZON,Brazilian,49
99,Luciano,Burti,,Brazilian,50
100,Jenson,Button,BUT,British,45
101,Nick,Heidfeld,HEI,German,48
102,Gastón,Mazzacane,,Argentine,50
103,Fernando,Alonso,ALO,Spanish,44
104,Enrique,Bernoldi,,Brazilian,47
105,Tomáš,Enge,,Czech,49
106,Juan,Pablo Montoya,MON,Colombian,50
107,Kimi,Räikkönen,RAI,Finnish,46
108,Alex,Yoong,,Malaysian,49
109,Anthony,Davidson,DAV,British,46
110,Felipe,Massa,MAS,Brazilian,44
111,Allan,McNish,,British,55
112,Takuma,Sato,SAT,Japanese,48
113,Mark,Webber,WEB,Australian,49
114,Zsolt,Baumgartner,,Hungarian,44
115,Cristiano,da Matta,,Brazilian,52
116,Ralph,Firman,,Irish,50
117,Nicolas,Kiesa,,Danish,47
118,Antônio,Pizzonia,PIZ,Brazilian,45
119,Justin,Wilson,,British,47
120,Gianmaria,Bruni,,Italian,44
121,Timo,Glock,GLO,German,43
122,Christian,Klien,KLI,Austrian,42
123,Giorgio,Pantano,,Italian,46
124,Christijan,Albers,ALB,Dutch,46
125,Robert,Doornbos,DOO,Dutch,44
126,Patrick,Friesacher,FRI,Austrian,45
127,Narain,Karthikeyan,KAR,Indian,48
128,Vitantonio,Liuzzi,LIU,Italian,45
129,Tiago,Monteiro,TMO,Portuguese,49
130,Yuji,Ide,IDE,Japanese,50
131,Robert,Kubica,KUB,Polish,40
132,Franck,Montagny,FMO,French,47
133,Nico,Rosberg,ROS,German,40
134,Scott,Speed,SPE,American,42
135,Sakon,Yamamoto,YAM,Japanese,43
136,Lewis,Hamilton,HAM,British,40
137,Heikki,Kovalainen,KOV,Finnish,44
138,Kazuki,Nakajima,NAK,Japanese,40
139,Adrian,Sutil,SUT,German,42
140,Sebastian,Vettel,VET,German,38
141,Markus,Winkelhock,WIN,German,45
142,Sébastien,Bourdais,BOU,French,46
143,Nelson,Piquet Jr.,PIQ,Brazilian,40
144,Jaime,Alguersuari,ALG,Spanish,35
145,Sébastien,Buemi,BUE,Swiss,37
146,Romain,Grosjean,GRO,French,39
147,Kamui,Kobayashi,KOB,Japanese,39
148,Karun,Chandhok,CHA,Indian,41
149,Lucas,di Grassi,DIG,Brazilian,41
150,Nico,Hülkenberg,HUL,German,38
151,Vitaly,Petrov,PET,Russian,41
152,Bruno,Senna,SEN,Brazilian,42
153,Jérôme,d'Ambrosio,DAM,Belgian,39
154,Paul,di Resta,DIR,British,39
155,Pastor,Maldonado,MAL,Venezuelan,40
156,Sergio,Pérez,PER,Mexican,35
157,Daniel,Ricciardo,RIC,Australian,36
158,Charles,Pic,PIC,French,35
159,Jean-Éric,Vergne,VER,French,35
160,Jules,Bianchi,BIA,French,36
161,Valtteri,Bottas,BOT,Finnish,36
162,Max,Chilton,CHI,British,34
163,Esteban,Gutiérrez,GUT,Mexican,34
164,Giedo,van der Garde,VDG,Dutch,40
165,Marcus,Ericsson,ERI,Swedish,35
166,Daniil,Kvyat,KVY,Russian,31
167,André,Lotterer,LOT,German,43
168,Kevin,Magnussen,MAG,Danish,33
169,Will,Stevens,STE,British,34
170,Roberto,Merhi,MER,Spanish,34
171,Felipe,Nasr,NAS,Brazilian,33
172,Alexander,Rossi,RSS,American,34
173,Carlos,Sainz,SAI,Spanish,31
174,Max,Verstappen,VER,Dutch,28
175,Rio,Haryanto,HAR,Indonesian,32
176,Esteban,Ocon,OCO,French,29
177,Jolyon,Palmer,PAL,British,34
178,Stoffel,Vandoorne,VAN,Belgian,33
179,Pascal,Wehrlein,WEH,German,31
180,Pierre,Gasly,GAS,French,29
181,Antonio,Giovinazzi,GIO,Italian,31
182,Brendon,Hartley,HAR,New Zealander,36
183,Lance,Stroll,STR,Canadian,27
184,Charles,Leclerc,LEC,Monegasque,28
185,Sergey,Sirotkin,SIR,Russian,30
186,Alexander,Albon,ALB,Thai,29
187,Lando,Norris,NOR,British,25
188,George,Russell,RUS,British,27
189,Jack,Aitken,AIT,British,30
190,Pietro,Fittipaldi,FIT,Brazilian,29
191,Nicholas,Latifi,LAT,Canadian,30
192,Nikita,Mazepin,MAZ,Russian,26
193,Mick,Schumacher,MSC,German,26
194,Yuki,Tsunoda,TSU,Japanese,25
195,Nyck,de Vries,DEV,Dutch,30
196,Guanyu,Zhou,ZHO,Chinese,26
197,Liam,Lawson,LAW,New Zealander,23
198,Oscar,Piastri,PIA,Australian,24
199,Logan,Sargeant,SAR,American,24
200,Andrea Kimi,Antonelli,ANT,Italian,19
201,Oliver,Bearman,BEA,British,20
202,Franco,Colapinto,COL,Argentine,22
203,Jack,Doohan,DOO,Australian,22
